[20/09/2024 13:24:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 13:25:05] --> GM: Odin [268477776], Target: [no-target], Action: [admin_set_menu], Params: [] 
[20/09/2024 13:25:11] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[20/09/2024 13:25:16] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin2], Params: [] 
[20/09/2024 13:25:20] --> GM: Odin [268477776], Target: [Odin], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 13:25:21] --> GM: Odin [268477776], Target: [Odin], Action: [admin_character_info], Params: [ Odin] 
[20/09/2024 13:25:26] --> GM: Odin [268477776], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[20/09/2024 13:25:31] --> GM: Odin [268477776], Target: [Odin], Action: [admin_set_level], Params: [ 80] 
[20/09/2024 13:25:41] --> GM: Odin [268477776], Target: [Odin], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:25:52] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 13:25:53] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[20/09/2024 13:26:02] --> GM: Odin [268477776], Target: [Odin], Action: [admin_buy], Params: [ 9052] 
[20/09/2024 13:26:26] --> GM: Odin [268477776], Target: [Odin], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:26:27] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 13:26:29] --> GM: Odin [268477776], Target: [Odin], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[20/09/2024 13:26:34] --> GM: Odin [268477776], Target: [Odin], Action: [admin_buy], Params: [ 9052] 
[20/09/2024 13:27:27] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:27:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/sets.htm] 
[20/09/2024 13:27:35] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9115] 
[20/09/2024 13:27:47] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:27:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/Jewels.htm] 
[20/09/2024 13:27:51] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9127] 
[20/09/2024 13:28:17] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:28:24] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9121] 
[20/09/2024 13:29:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 13:29:37] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 300511] 
[20/09/2024 13:32:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 13:32:22] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 13:32:26] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 13:32:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/ti_starting.htm] 
[20/09/2024 13:32:33] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -82687 243157 -3734] 
[20/09/2024 13:37:38] --> GM: Odin [268477776], Target: [Newbie Guide], Action: [admin_admin], Params: [] 
[20/09/2024 13:37:40] --> GM: Odin [268477776], Target: [Newbie Guide], Action: [admin_admin2], Params: [] 
[20/09/2024 13:37:42] --> GM: Odin [268477776], Target: [Newbie Guide], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 13:37:43] --> GM: Odin [268477776], Target: [Newbie Guide], Action: [admin_character_info], Params: [ Odin] 
[20/09/2024 13:37:46] --> GM: Odin [268477776], Target: [Odin], Action: [admin_edit_character], Params: [] 
[20/09/2024 13:38:03] --> GM: Odin [268477776], Target: [Odin], Action: [admin_current_player], Params: [] 
[20/09/2024 13:38:11] --> GM: Odin [268477776], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
